market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
301001,NaN,NaN,220,240,NaN,NaN,10,210,20,NaN,40,460,220,214,NaN,250,NaN,250,360,NaN,NaN,50,NaN,225,81.99,210,222,NaN,260,210,234.99,257,237,242.01,267,277.02,449,260,81,266,268.98,264,251,292.02,314.02,235,252,276,84.8567932,20.9211366
301002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.97,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.5353247,20.7240587
301003,39.99,39.99,87.01,81.97,69,NaN,30,69,12,36,79.02,108.96,297.99,30,NaN,27,72,36.99,81,111.04,42,78,27,77.98,80.01,66,73.02,51,57,27,24,57,45,27,49,46,64,49,36,46,46,52,54,42.99,39,23,55,48,84.887495,20.8850467
301004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.1510818,20.8444033
301005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.2023569,21.4276754
301006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.216816,20.9501027
302001,17.7,17.7,37.92,42.42,29.68,33.6,21.51,14,35.5,27.92,49.91,42.48,29.52,28,28,21.99,13,25,45,27,48.02,18,45.99,29,27,39,36,40.02,34.98,18.99,30.5,27,43.02,28,43.02,38.52,27,34,37.98,39,29,30,38.01,22,18,18.99,45.01,13,83.4842725,20.7074234
302002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.1380955,20.7127028
302003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.9205737,20.4639112
302004,9,9,28.08,31.38,22.4,27.5,18.72,16.2,24.7,20.2,37.59,28.5,24.48,21,21,18.99,10,20,34.98,22.48,37.03,18,34.02,28.5,22,31.02,33,38.99,33,17.01,25.5,21,34.02,24,34.02,32.52,15.99,27,30,31.02,24,27,28,18,18.51,15.99,38.99,11,83.4830247,20.5036747
